datetime,portfolio_value,cash,return
2023-11-01 09:30:00-04:00,100000.0,100000.0,
2023-11-02 09:30:00-04:00,100000.0,100000.0,0.0
2023-11-03 09:30:00-04:00,100000.0,100000.0,0.0
2023-11-04 09:30:00-04:00,100000.0,49993.118423461914,0.0
2023-11-06 09:30:00-05:00,100614.1798248291,49993.118423461914,0.006141798248290975
2023-11-07 09:30:00-05:00,101417.77632141113,49993.118423461914,0.00798691097001547
2023-11-08 09:30:00-05:00,102327.5701751709,49993.118423461914,0.008970753321158043
2023-11-09 09:30:00-05:00,102502.6403503418,49993.118423461914,0.0017108798232108313
2023-11-10 09:30:00-05:00,102792.50877380371,49993.118423461914,0.0028279117735032777
2023-11-11 09:30:00-05:00,102792.50877380371,49993.118423461914,0.0
2023-11-13 09:30:00-05:00,103392.3405255127,50061.99842346191,0.005835364452763114
2023-11-14 09:30:00-05:00,103931.89754760743,50061.99842346191,0.005218539587674709
2023-11-15 09:30:00-05:00,103974.9501751709,50061.99842346191,0.00041423882926561184
2023-11-16 09:30:00-05:00,104468.5905255127,50061.99842346191,0.004747685375276811
2023-11-17 09:30:00-05:00,104663.74842346192,50061.99842346191,0.0018681011868495467
2023-11-18 09:30:00-05:00,104663.74842346192,50061.99842346191,0.0
2023-11-20 09:30:00-05:00,104560.42824829102,50061.99842346191,-0.0009871629549600414
2023-11-21 09:30:00-05:00,104996.66947448731,50061.99842346191,0.004172144601018557
2023-11-22 09:30:00-05:00,105019.63,50061.99842346191,0.0002186786078797187
2023-11-23 09:30:00-05:00,105019.63,50061.99842346191,0.0
2023-11-24 09:30:00-05:00,104841.68702209473,50061.99842346191,-0.001694378259619378
2023-11-25 09:30:00-05:00,104841.68702209473,50061.99842346191,0.0
2023-11-27 09:30:00-05:00,104569.03789794922,50061.99842346191,-0.002600579329556707
2023-11-28 09:30:00-05:00,104528.85807312012,50061.99842346191,-0.00038424208194698384
2023-11-29 09:30:00-05:00,104850.29667175293,50061.99842346191,0.0030751182454127335
2023-11-30 09:30:00-05:00,104546.07737243653,50061.99842346191,-0.002901463409958671
2023-12-01 09:30:00-05:00,104686.70894897461,50061.99842346191,0.0013451635878896084
2023-12-02 09:30:00-05:00,104686.70894897461,50061.99842346191,0.0
2023-12-04 09:30:00-05:00,104586.25719726563,50061.99842346191,-0.0009595463714304753
2023-12-05 09:30:00-05:00,104652.2703503418,50061.99842346191,0.000631183817503489
2023-12-06 09:30:00-05:00,105869.14754760743,50061.99842346191,0.011627814601555375
2023-12-07 09:30:00-05:00,105633.8098248291,50061.99842346191,-0.002222911284635476
2023-12-08 09:30:00-05:00,105797.39754760743,50061.99842346191,0.001548630339562651
2023-12-09 09:30:00-05:00,105797.39754760743,50061.99842346191,0.0
2023-12-11 09:30:00-05:00,105484.56859863282,50061.99842346191,-0.00295686809152218
2023-12-12 09:30:00-05:00,105475.95894897461,50061.99842346191,-8.161999212374926e-05
2023-12-13 09:30:00-05:00,106052.82737243653,50061.99842346191,0.005469193446641096
2023-12-14 09:30:00-05:00,106893.73964965821,50061.99842346191,0.007929183012429952
2023-12-15 09:30:00-05:00,106753.10807312012,50061.99842346191,-0.0013156203253716914
2023-12-16 09:30:00-05:00,106753.10807312012,50061.99842346191,0.0
2023-12-18 09:30:00-05:00,106339.82737243653,50061.99842346191,-0.003871369257001156
2023-12-19 09:30:00-05:00,106359.91947448731,50061.99842346191,0.0001889423986030092
2023-12-20 09:30:00-05:00,106572.29667175293,50061.99842346191,0.00199677846988755
2023-12-21 09:30:00-05:00,106342.7001751709,50061.99842346191,-0.0021543731696915813
2023-12-22 09:30:00-05:00,106078.65632141114,50061.99842346191,-0.0024829523166595147
2023-12-23 09:30:00-05:00,106078.65632141114,50061.99842346191,0.0
2023-12-26 09:30:00-05:00,105628.06859863282,50061.99842346191,-0.004247675624897362
2023-12-27 09:30:00-05:00,105306.63,50061.99842346191,-0.0030431172594305167
2023-12-28 09:30:00-05:00,105780.17824829102,50061.99842346191,0.00449685122666077
2023-12-29 09:30:00-05:00,105711.29667175293,50061.99842346191,-0.0006511765973432615
2023-12-30 09:30:00-05:00,105711.29667175293,50061.99842346191,0.0
